total	segment	sub_segment	v	len
0	1	1	35	300
30	1	2	40	350
65	1	3	40	350
100	1	4	50	350
135	1	5	50	350
170	1	6	40	350
205	1	7	35	350
240	1	8	30	125
253	2	1	25	225
275	2	2	25	300
305	3	1	30	50
310	3	2	30	200
330	3	3	30	200
350	3	4	30	200
370	3	5	30	200
390	3	6	30	200
410	3	7	30	350
445	3	8	30	275
473	4	1	30	325
505	4	2	30	350
540	4	3	30	175
558	4	4	30	175
575	4	5	30	250
600	4	6	30	250
625	4	7	30	90
634	4	8	30	235
658	4	9	30	350
693	4	10	30	250
718	4	11	30	250
743	4	12	30	250
768	5	1	50	200
788	5	2	50	200
808	5	3	50	250
833	5	4	50	250
858	5	5	50	400
898	6	1	50	250
923	6	2	50	250
948	6	3	50	250
973	6	4	50	250
998	6	5	50	250
1023	6	6	50	350
1058	6	7	50	350
1093	7	1	40	200
1113	7	2	40	90
1122	7	3	40	250
1147	7	4	40	250
1172	7	5	40	350
1207	7	6	40	200
1227	7	7	40	235
1250	7	8	40	235
1274	7	9	40	250
1299	7	10	40	350
1334	7	11	50	175
1351	7	12	50	200
1371	7	13	50	200
1391	7	14	50	200
1411	7	15	50	175
1429	7	16	50	200
1449	7	17	50	200
1469	8	1	50	250
1494	8	2	60	200
1514	8	3	60	175
1531	8	4	60	200
1551	8	5	50	200
1571	8	6	50	235
1595	8	7	50	350
1630	8	8	50	200
1650	8	9	50	200
1670	8	10	50	350
1705	8	11	50	175
1722	8	12	50	350
1757	9	1	35	200
1777	9	2	35	200
1797	9	3	35	350
1832	9	4	35	350
1867	9	5	35	175
1885	9	6	35	200
1905	9	7	35	200
1925	9	8	35	315
1960	9	9	35	
